experiment_file, dataset, use_rear_lidar, particle_count, noise_sigma, local_search_resolution, local_search_offset, runtime, rmse
experiments\experiment00, bicocca, False, 1, 0, 0, 0, 20.395955562591553, 1.562810372154707
experiments\experiment01, bicocca, False, 10, 0.0001, 0, 0.1, 23.344542741775513, 1.5375200364545731
experiments\experiment02, bicocca, False, 10, 0.0001, 1, 0.1, 31.995028018951416, 1.5737522479271462
experiments\experiment03, bicocca, False, 10, 0.0001, 2, 0.1, 49.12816834449768, 1.5737522479271484
experiments\experiment04, bicocca, False, 10, 0.001, 0, 0.1, 22.980581283569336, 1.3821585803468284
experiments\experiment05, bicocca, False, 10, 0.001, 1, 0.1, 31.630621433258057, 1.5982092953737848
experiments\experiment06, bicocca, False, 10, 0.001, 2, 0.1, 47.7880744934082, 1.5982092953737854
experiments\experiment07, bicocca, False, 10, 0.01, 0, 0.1, 23.095080137252808, 1.3414907006398022
experiments\experiment08, bicocca, False, 10, 0.01, 1, 0.1, 37.113728523254395, 1.5190545670515123
experiments\experiment09, bicocca, False, 10, 0.01, 2, 0.1, 48.49518847465515, 1.4038560357119219
experiments\experiment10, bicocca, False, 100, 0.0001, 0, 0.1, 56.5163049697876, 1.2377098981439103
experiments\experiment11, bicocca, False, 100, 0.0001, 1, 0.1, 183.86905241012573, 1.5519424930660186
experiments\experiment12, bicocca, False, 100, 0.0001, 2, 0.1, 371.38337755203247, 1.5516648525899177
experiments\experiment13, bicocca, False, 100, 0.001, 0, 0.1, 48.945372104644775, 1.4673848000044756
experiments\experiment14, bicocca, False, 100, 0.001, 1, 0.1, 131.17452931404114, 1.5680431146757137
experiments\experiment15, bicocca, False, 100, 0.001, 2, 0.1, 289.3659324645996, 1.5677271036699758
experiments\experiment16, bicocca, False, 100, 0.01, 0, 0.1, 48.89390754699707, 1.3987023272714354
experiments\experiment17, bicocca, False, 100, 0.01, 1, 0.1, 131.39784479141235, 1.563095162060491
experiments\experiment18, bicocca, False, 100, 0.01, 2, 0.1, 290.2638530731201, 1.5630951620604923
experiments\experiment19, bicocca, True, 10, 0.0001, 0, 0.1, 24.53089475631714, 0.9670301667893059
experiments\experiment20, bicocca, True, 10, 0.0001, 1, 0.1, 45.69507694244385, 1.8881637089595245
experiments\experiment21, bicocca, True, 10, 0.0001, 2, 0.1, 60.52693247795105, 1.4264730168926287
experiments\experiment22, bicocca, True, 10, 0.001, 0, 0.1, 24.63237166404724, 1.9193731673357701
experiments\experiment23, bicocca, True, 10, 0.001, 1, 0.1, 33.75420331954956, 1.8719834118735394
experiments\experiment24, bicocca, True, 10, 0.001, 2, 0.1, 51.95325493812561, 1.4970887510018647
experiments\experiment25, bicocca, True, 10, 0.01, 0, 0.1, 24.78578543663025, 1.809264359249923
experiments\experiment26, bicocca, True, 10, 0.01, 1, 0.1, 33.88180208206177, 1.4147444291657139
experiments\experiment27, bicocca, True, 10, 0.01, 2, 0.1, 51.68849587440491, 1.390356048840974
experiments\experiment28, bicocca, True, 100, 0.0001, 0, 0.1, 57.66496658325195, 2.019712539014265
experiments\experiment29, bicocca, True, 100, 0.0001, 1, 0.1, 144.90719485282898, 1.9106212142911654
experiments\experiment30, bicocca, True, 100, 0.0001, 2, 0.1, 320.7129490375519, 1.4591975345360941
experiments\experiment31, bicocca, True, 100, 0.001, 0, 0.1, 69.92543387413025, 1.8939162158686909
experiments\experiment32, bicocca, True, 100, 0.001, 1, 0.1, 193.92255330085754, 1.5551744542206443
experiments\experiment33, bicocca, True, 100, 0.001, 2, 0.1, 423.19415974617004, 1.4566000295730521
experiments\experiment34, bicocca, True, 100, 0.01, 0, 0.1, 53.63287329673767, 1.7920178469488248
experiments\experiment35, bicocca, True, 100, 0.01, 1, 0.1, 150.65920186042786, 1.868408771432894
experiments\experiment36, bicocca, True, 100, 0.01, 2, 0.1, 319.21922397613525, 1.492069470350552
