experiment_file, dataset, use_rear_lidar, particle_count, noise_sigma, local_search_resolution, local_search_offset, runtime, rmse
experiments\experiment00, bicocca, False, 1, 0, 0, 0, 20.604641437530518, 1.562810372154707
experiments\experiment01, bicocca, False, 10, 0.0001, 0, 0.05, 25.30782389640808, 1.5375200364545731
experiments\experiment02, bicocca, False, 10, 0.0001, 1, 0.05, 36.73265790939331, 1.5664162989166213
experiments\experiment03, bicocca, False, 10, 0.0001, 2, 0.05, 61.915438652038574, 1.565383009246024
experiments\experiment04, bicocca, False, 10, 0.001, 0, 0.05, 28.206336736679077, 1.3821585803468284
experiments\experiment05, bicocca, False, 10, 0.001, 1, 0.05, 41.31010580062866, 1.5826864382740107
experiments\experiment06, bicocca, False, 10, 0.001, 2, 0.05, 64.56569027900696, 1.5839741960142277
experiments\experiment07, bicocca, False, 10, 0.01, 0, 0.05, 28.675867795944214, 1.3414907006398022
experiments\experiment08, bicocca, False, 10, 0.01, 1, 0.05, 41.028528451919556, 1.6127734827546385
experiments\experiment09, bicocca, False, 10, 0.01, 2, 0.05, 63.69393014907837, 1.620536884072036
experiments\experiment10, bicocca, False, 100, 0.0001, 0, 0.05, 64.55140948295593, 1.2377098981439103
experiments\experiment11, bicocca, False, 100, 0.0001, 1, 0.05, 182.67625093460083, 1.5460783957305733
experiments\experiment12, bicocca, False, 100, 0.0001, 2, 0.05, 428.9500021934509, 1.5473602580081702
experiments\experiment13, bicocca, False, 100, 0.001, 0, 0.05, 64.74917888641357, 1.4673848000044756
experiments\experiment14, bicocca, False, 100, 0.001, 1, 0.05, 184.8458023071289, 1.5437480438523978
experiments\experiment15, bicocca, False, 100, 0.001, 2, 0.05, 313.4014081954956, 1.5464214285412266
experiments\experiment16, bicocca, False, 100, 0.01, 0, 0.05, 50.4152934551239, 1.3987023272714354
experiments\experiment17, bicocca, False, 100, 0.01, 1, 0.05, 131.6317479610443, 1.5387798357260416
experiments\experiment18, bicocca, False, 100, 0.01, 2, 0.05, 314.25287199020386, 1.5354697030415962
experiments\experiment19, bicocca, True, 10, 0.0001, 0, 0.05, 24.486770153045654, 0.9670301667893059
experiments\experiment20, bicocca, True, 10, 0.0001, 1, 0.05, 33.43803143501282, 1.5126790051396093
experiments\experiment21, bicocca, True, 10, 0.0001, 2, 0.05, 51.3221640586853, 1.5707104720839962
experiments\experiment22, bicocca, True, 10, 0.001, 0, 0.05, 24.523290157318115, 1.9193731673357701
experiments\experiment23, bicocca, True, 10, 0.001, 1, 0.05, 33.56199526786804, 1.7483966331297975
experiments\experiment24, bicocca, True, 10, 0.001, 2, 0.05, 59.38883852958679, 1.7343809995007042
experiments\experiment25, bicocca, True, 10, 0.01, 0, 0.05, 24.465299129486084, 1.809264359249923
experiments\experiment26, bicocca, True, 10, 0.01, 1, 0.05, 33.72706913948059, 1.4613550445121888
experiments\experiment27, bicocca, True, 10, 0.01, 2, 0.05, 51.71349596977234, 1.371407202647351
experiments\experiment28, bicocca, True, 100, 0.0001, 0, 0.05, 69.48620700836182, 2.019712539014265
experiments\experiment29, bicocca, True, 100, 0.0001, 1, 0.05, 162.8363218307495, 1.8311664039592292
experiments\experiment30, bicocca, True, 100, 0.0001, 2, 0.05, 335.68796968460083, 1.5587690795907954
experiments\experiment31, bicocca, True, 100, 0.001, 0, 0.05, 54.10086679458618, 1.8939162158686909
experiments\experiment32, bicocca, True, 100, 0.001, 1, 0.05, 150.28301763534546, 1.74334151500512
experiments\experiment33, bicocca, True, 100, 0.001, 2, 0.05, 319.0256087779999, 1.4714505846406982
experiments\experiment34, bicocca, True, 100, 0.01, 0, 0.05, 53.71097469329834, 1.7920178469488248
experiments\experiment35, bicocca, True, 100, 0.01, 1, 0.05, 145.27621984481812, 1.6203189900402937
experiments\experiment36, bicocca, True, 100, 0.01, 2, 0.05, 318.1747953891754, 1.5845998303223123
