experiment_file, repetition, dataset, use_rear_lidar, particle_count, noise_sigma, local_search_resolution, local_search_offset, runtime, rmse
experiments\experiment21, 10, bicocca, True, 10, 0.0001, 2, 0.1, 41.17337775230408, 1.4277064444950287
experiments\experiment22, 10, bicocca, True, 10, 0.001, 0, 0.1, 15.153583288192749, 1.8239077887500776
experiments\experiment23, 10, bicocca, True, 10, 0.001, 1, 0.1, 24.694393634796143, 1.9586854999093988
experiments\experiment24, 10, bicocca, True, 10, 0.001, 2, 0.1, 40.958470582962036, 1.485510670101234
experiments\experiment25, 10, bicocca, True, 10, 0.01, 0, 0.1, 15.303166389465332, 1.9424590363573855
experiments\experiment26, 10, bicocca, True, 10, 0.01, 1, 0.1, 24.196999311447144, 1.476500414919508
experiments\experiment27, 10, bicocca, True, 10, 0.01, 2, 0.1, 41.08175587654114, 1.3907640400630579
experiments\experiment28, 10, bicocca, True, 100, 0.0001, 0, 0.1, 41.8332793712616, 2.009301051807477
experiments\experiment29, 10, bicocca, True, 100, 0.0001, 1, 0.1, 135.7552125453949, 1.8962837609655245
experiments\experiment30, 10, bicocca, True, 100, 0.0001, 2, 0.1, 296.7035150527954, 1.4484321251848775
experiments\experiment31, 10, bicocca, True, 100, 0.001, 0, 0.1, 41.813936710357666, 1.8020175670844383
experiments\experiment32, 10, bicocca, True, 100, 0.001, 1, 0.1, 129.8507640361786, 1.8167851448566434
experiments\experiment33, 10, bicocca, True, 100, 0.001, 2, 0.1, 303.87845182418823, 1.454367514777722
experiments\experiment34, 10, bicocca, True, 100, 0.01, 0, 0.1, 41.75941276550293, 1.7882805707648286
experiments\experiment35, 10, bicocca, True, 100, 0.01, 1, 0.1, 130.77313685417175, 1.8266663940068053
experiments\experiment36, 10, bicocca, True, 100, 0.01, 2, 0.1, 297.75331592559814, 1.4387046214178019
experiments\experiment07, 6, bicocca, False, 10, 0.01, 0, 0.1, 16.391112804412842, 3.0702559895786297
experiments\experiment07, 1, bicocca, False, 10, 0.01, 0, 0.1, 17.690746068954468, 3.33492379730718
experiments\experiment07, 4, bicocca, False, 10, 0.01, 0, 0.1, 17.525660037994385, 3.05074438958215
